protein1 protein2 combined_score
9606.ENSP00000000233 9606.ENSP00000329933 156
9606.ENSP00000000233 9606.ENSP00000406209 245
9606.ENSP00000000233 9606.ENSP00000234160 249
9606.ENSP00000000233 9606.ENSP00000274311 161
9606.ENSP00000000233 9606.ENSP00000265944 182
9606.ENSP00000000233 9606.ENSP00000223369 672
9606.ENSP00000000233 9606.ENSP00000309539 186
9606.ENSP00000000233 9606.ENSP00000339299 249
9606.ENSP00000000233 9606.ENSP00000263238 156
9606.ENSP00000000233 9606.ENSP00000367629 166
9606.ENSP00000000233 9606.ENSP00000349259 625
9606.ENSP00000000233 9606.ENSP00000483814 196
9606.ENSP00000000233 9606.ENSP00000270142 216
9606.ENSP00000000233 9606.ENSP00000323421 163
9606.ENSP00000000233 9606.ENSP00000239440 299
9606.ENSP00000000233 9606.ENSP00000354720 183
9606.ENSP00000000233 9606.ENSP00000355090 162
9606.ENSP00000000233 9606.ENSP00000346671 179
9606.ENSP00000000233 9606.ENSP00000365643 176
9606.ENSP00000000233 9606.ENSP00000365312 189
9606.ENSP00000000233 9606.ENSP00000251527 218
9606.ENSP00000000233 9606.ENSP00000380413 201
9606.ENSP00000000233 9606.ENSP00000338173 151
9606.ENSP00000000233 9606.ENSP00000268182 242
9606.ENSP00000000233 9606.ENSP00000449241 356
9606.ENSP00000000233 9606.ENSP00000361475 305
9606.ENSP00000000233 9606.ENSP00000246166 185
9606.ENSP00000000233 9606.ENSP00000298229 210
9606.ENSP00000000233 9606.ENSP00000223023 278
9606.ENSP00000000233 9606.ENSP00000387699 176
9606.ENSP00000000233 9606.ENSP00000427793 292
9606.ENSP00000000233 9606.ENSP00000355995 237
9606.ENSP00000000233 9606.ENSP00000230124 153
9606.ENSP00000000233 9606.ENSP00000366156 177
9606.ENSP00000000233 9606.ENSP00000402515 160
9606.ENSP00000000233 9606.ENSP00000414150 160
9606.ENSP00000000233 9606.ENSP00000358596 198
9606.ENSP00000000233 9606.ENSP00000229239 185
9606.ENSP00000000233 9606.ENSP00000306496 240
9606.ENSP00000000233 9606.ENSP00000340609 151
9606.ENSP00000000233 9606.ENSP00000268613 262
9606.ENSP00000000233 9606.ENSP00000270861 163
9606.ENSP00000000233 9606.ENSP00000315410 349
9606.ENSP00000000233 9606.ENSP00000444561 240
9606.ENSP00000000233 9606.ENSP00000356705 202
9606.ENSP00000000233 9606.ENSP00000351475 253
9606.ENSP00000000233 9606.ENSP00000272217 200
9606.ENSP00000000233 9606.ENSP00000407586 176
9606.ENSP00000000233 9606.ENSP00000428564 285
9606.ENSP00000000233 9606.ENSP00000429900 879
9606.ENSP00000000233 9606.ENSP00000256682 908
9606.ENSP00000000233 9606.ENSP00000244769 181
9606.ENSP00000000233 9606.ENSP00000405965 255
9606.ENSP00000000233 9606.ENSP00000357177 168
